cell,seed,run,w_vic,feat,probe,spearman,pearson,ap,mae
D_w3,1,outputs/rank_v1/D_w3/fold0_seed1,3.0,pca4,knn,0.8647070150610722,0.8623196733177318,0.19774677330772883,0.32317096956542735
D_w3,1,outputs/rank_v1/D_w3/fold0_seed1,3.0,pca4,ridge,0.8646770769462876,0.8576584237159022,0.23894927419761175,0.32943493892505604
D_w3,1,outputs/rank_v1/D_w3/fold0_seed1,3.0,pca8,knn,0.8611432927166283,0.8613002885192599,0.21973403941239616,0.3242435334101317
D_w3,1,outputs/rank_v1/D_w3/fold0_seed1,3.0,pca8,ridge,0.8697451923560178,0.8650218479865857,0.2519145685058355,0.3201254692657156
D_w3,1,outputs/rank_v1/D_w3/fold0_seed1,3.0,pred1,knn,0.834329900554277,0.8255150781542471,0.1281127497413126,0.3654730407602681
D_w3,1,outputs/rank_v1/D_w3/fold0_seed1,3.0,pred1,ridge,0.8777747667165952,0.8689926628690274,0.25773638584998243,0.312713978576025
D_w3,2,outputs/rank_v1/D_w3/fold0_seed2,3.0,emb32,knn,0.862466268889253,0.8605941907156887,0.2094587327307353,0.323917893754239
D_w3,2,outputs/rank_v1/D_w3/fold0_seed2,3.0,emb32,ridge,0.8773946373945218,0.8730851030726208,0.2633111688707325,0.30726697648840035
D_w3,2,outputs/rank_v1/D_w3/fold0_seed2,3.0,pca1,knn,0.8144953724381676,0.8040328352201149,0.07550337023711162,0.3870803027193741
D_w3,2,outputs/rank_v1/D_w3/fold0_seed2,3.0,pca1,ridge,0.8620261125528198,0.8328127148644996,0.18477200538715277,0.36309738695041804
D_w3,2,outputs/rank_v1/D_w3/fold0_seed2,3.0,pca16,knn,0.8622085573347035,0.8598015455173467,0.1978369701303558,0.3250029679009446
D_w3,2,outputs/rank_v1/D_w3/fold0_seed2,3.0,pca16,ridge,0.8704100770244972,0.8665364607852124,0.23869137257192968,0.3164013161303075
