sweep_id,config,bootstrap,embedding,embedding_label,fold,input_dim,n_rows,tanimoto_spearman,pred_tanimoto_spearman,scalarness,tanimoto_partial,knn20_jaccard,n_readout,emb_effective_rank,emb_top1_share,emb_min_std,emb_dim
lyc0lh2d,cfg1,boot05,vn03,VN 3,0,336,66296,0.43720977161075447,0.06946782994933733,0.09877025364673994,0.43246304666810576,0.10420423064924896,5000,62.41050047047783,0.08960677607754912,0.10060094557716365,336
lyc0lh2d,cfg1,boot05,vn06,VN 6,0,336,66296,0.4497793634834281,0.06946782994933733,0.12317360889192736,0.44460839172507227,0.11536707959767231,5000,65.81560937310931,0.09157517074980347,0.20740468634723605,336
lyc0lh2d,cfg1,boot05,vn09,VN 9,0,336,66296,0.4634951993871536,0.06946782994933733,0.13844458244923663,0.4582910136836826,0.11771369774093642,5000,63.2161466157482,0.09437383951929978,0.25734970785127287,336
lyc0lh2d,cfg1,boot05,vn12,VN 12,0,336,66296,0.47528065769595584,0.06946782994933733,0.14698859123754646,0.4701766498298263,0.11952236724798145,5000,63.0963078756817,0.09253976960225904,0.27186902292544707,336
lyc0lh2d,cfg1,boot05,vn15,VN 15,0,336,66296,0.4756391648142509,0.06946782994933733,0.15604815135104752,0.47056350042336303,0.12021001338389727,5000,64.1552718931387,0.09336183029745805,0.29475859134382626,336
lyc0lh2d,cfg1,boot05,pooled512,Pooled embedding,0,512,66296,0.14623825856362907,0.06946782994933733,0.49760820143094775,0.12874135395773154,0.14621366650103942,5000,92.23933151556315,0.19265054996434464,0.07860172615577905,512
lyc0lh2d,cfg1,boot05,z,Head export (z),0,1024,66296,0.1355334965468423,0.06946782994933733,0.901336794444483,0.16835927756274383,0.11483764128212874,5000,17.41896463292278,0.5090168354473279,0.0010245556416254263,1024
lyc0lh2d,cfg1,boot06,vn03,VN 3,0,336,66296,0.4318248722442533,0.0725886174767707,0.08543856707623909,0.4271850323058767,0.10328220691686779,5000,61.96027176555366,0.08692258094962885,0.07273360559163125,336
lyc0lh2d,cfg1,boot06,vn06,VN 6,0,336,66296,0.446146403023039,0.0725886174767707,0.0976470725995043,0.4411666256992775,0.11391942424115462,5000,64.52141132765222,0.0854205458141219,0.25239933190087366,336
lyc0lh2d,cfg1,boot06,vn09,VN 9,0,336,66296,0.45906103040153595,0.0725886174767707,0.11607785485261413,0.4537020719571955,0.11724264154069575,5000,62.8746641957709,0.09206568614393192,0.25656529588869015,336
lyc0lh2d,cfg1,boot06,vn12,VN 12,0,336,66296,0.4628741957941926,0.0725886174767707,0.13186238764744607,0.457295577854892,0.11945945565746335,5000,62.67151650323533,0.09869253230414135,0.29085116049270243,336
lyc0lh2d,cfg1,boot06,vn15,VN 15,0,336,66296,0.45880227590374084,0.0725886174767707,0.15031168619346,0.4530384833543197,0.12011985554590283,5000,62.721826600476305,0.10493987362474957,0.3078684005776416,336
lyc0lh2d,cfg1,boot06,pooled512,Pooled embedding,0,512,66296,0.17990440088218365,0.0725886174767707,0.47050251935482623,0.16517621974858115,0.15291959557542403,5000,97.66093792633006,0.17986886813870728,0.15121285112831712,512
lyc0lh2d,cfg1,boot06,z,Head export (z),0,1024,66296,0.15861538651015258,0.0725886174767707,0.8705221193721068,0.19390308807915482,0.12196041824411713,5000,27.053598481412077,0.4107373173442722,0.001490486113403048,1024
lyc0lh2d,cfg1,boot07,vn03,VN 3,0,336,66296,0.430087015164924,0.07071383184943257,0.08300759599680908,0.42568630982742023,0.10358913936309969,5000,62.16895033774999,0.08923920832687479,0.08117315257644656,336
lyc0lh2d,cfg1,boot07,vn06,VN 6,0,336,66296,0.44166650193218143,0.07071383184943257,0.10183461345805496,0.4367358260759818,0.1139128805552048,5000,64.42055527508474,0.0875286403682564,0.19925482222046342,336
lyc0lh2d,cfg1,boot07,vn09,VN 9,0,336,66296,0.4529486799677902,0.07071383184943257,0.11557744340972162,0.44777654308823706,0.11632719076065591,5000,62.94831745854704,0.09039415906001992,0.235502926798197,336
lyc0lh2d,cfg1,boot07,vn12,VN 12,0,336,66296,0.45658587779687637,0.07071383184943257,0.13281928549120817,0.4511911483403855,0.1182383960737694,5000,62.47807920177711,0.10753883485884198,0.27277038545297433,336
lyc0lh2d,cfg1,boot07,vn15,VN 15,0,336,66296,0.4506504753889357,0.07071383184943257,0.15060319066843492,0.4450771658013715,0.11787006779575504,5000,62.11468544263249,0.11891914860793944,0.2902131498207135,336
lyc0lh2d,cfg1,boot07,pooled512,Pooled embedding,0,512,66296,0.1922809353140448,0.07071383184943257,0.45519288650804696,0.17979985036478305,0.15063179443124666,5000,101.19314064668285,0.16355963049268143,0.051867892223939525,512
lyc0lh2d,cfg1,boot07,z,Head export (z),0,1024,66296,0.1575651743723729,0.07071383184943257,0.8927911905736169,0.20963068029285,0.12210004745421493,5000,24.55316113997615,0.44450655807340295,0.0003089021260095136,1024
lyc0lh2d,cfg1,boot08,vn03,VN 3,0,336,66296,0.43138788783031495,0.07342199333842181,0.08913792505623601,0.42654113935634136,0.10420052296721012,5000,62.3601433748697,0.0941123749037399,0.10641098418642123,336
lyc0lh2d,cfg1,boot08,vn06,VN 6,0,336,66296,0.4437802307114882,0.07342199333842181,0.12048556778618402,0.43812565093746947,0.11370616792883659,5000,65.44339759578743,0.09126184571738724,0.17722316350474512,336
lyc0lh2d,cfg1,boot08,vn09,VN 9,0,336,66296,0.4546912835681181,0.07342199333842181,0.1339753956155347,0.4489015436827759,0.11547138160454815,5000,63.67024986786554,0.09685065365118589,0.19857071868467996,336
lyc0lh2d,cfg1,boot08,vn12,VN 12,0,336,66296,0.46232034832608493,0.07342199333842181,0.14559703434811613,0.4564947426020461,0.1162943335401173,5000,63.40737956242822,0.10502552113168037,0.20258962106730843,336
lyc0lh2d,cfg1,boot08,vn15,VN 15,0,336,66296,0.4676410788943447,0.07342199333842181,0.15241024635945152,0.46184642066082643,0.11758583720390234,5000,63.61852938405338,0.10789826761492254,0.21927840738020832,336
lyc0lh2d,cfg1,boot08,pooled512,Pooled embedding,0,512,66296,0.1236175805227985,0.07342199333842181,0.40221477221636187,0.10276516702095158,0.1410833624607681,5000,74.54767672535178,0.20931402119312947,0.0902972303986175,512
lyc0lh2d,cfg1,boot08,z,Head export (z),0,1024,66296,0.12105353161812946,0.07342199333842181,0.9009069295882417,0.1265105735546978,0.1057862462644568,5000,11.193706465262661,0.5832635301683198,0.002354443003231765,1024
lyc0lh2d,cfg1,boot09,vn03,VN 3,0,336,66296,0.44651752274987894,0.07318256874021237,0.08582959173511641,0.4418668557188921,0.10265939335856177,5000,59.993468389567454,0.09319644186399018,0.08136379958226038,336
lyc0lh2d,cfg1,boot09,vn06,VN 6,0,336,66296,0.45066996686712946,0.07318256874021237,0.11061711263589372,0.4453075318114785,0.11367285716705793,5000,63.10801679070319,0.09735246248089997,0.17717589437417844,336
lyc0lh2d,cfg1,boot09,vn09,VN 9,0,336,66296,0.455897328813957,0.07318256874021237,0.12913033822705247,0.4502166192652756,0.11620104696226197,5000,61.06694511107521,0.10479892830208618,0.2319714406277672,336
lyc0lh2d,cfg1,boot09,vn12,VN 12,0,336,66296,0.45633209329243424,0.07318256874021237,0.15026463876697377,0.4504498338751733,0.11814674118408623,5000,60.26854178794791,0.11668107630179025,0.25827774287793803,336
